,Notes,title,reviews
0,0.0,Terrible experience with the maple…,"Terrible experience with the maple lounge who refused to allow access by Lana (last name unknown). Complained to Air Canada and received a response from Ragavi Brown who was also unrepentant for the delay and incompetence I have suffered from Air Canada not re booking me properly when they cancelled an earlier flight. Ragavi has offered me a discount which I'm never going to use as Im never flying with Air Canada again, here is the code if its of use to you. DNY4CU41"
1,1.0,Delayed by 12hours on flight into…,"Delayed by 12hours on flight into Toronto from Heathrow, ground staff helpful and apologetic at Heathrow. Eventually received compensation for this delay. Our internal flight between Toronto and Vancouver was cancelled altogether, we were informed by email that we may get a flight in two days by which time our holiday would have been ruined. The ground staff in Toronto were very unhelpful and in some cases quite rude. No hotel or food offered. Our agent eventually got us seats on a flight much later that day.On our internal flight and the flight home we were not seated together. This was our forth attempt at this holiday due to covid and ill heath, completely blighted by our experience with Air Canada. I will never travel Air Canada again."
2,1.0,Air Canada Hates Handicapped Passengers,"Summary: A Third-World Airline run by a bunch of people who operate with impunity.Here are the details.  In September, my handicapped partner traveled to from the US to YUL on Air Canada.  At YUL she was taken off the plane in a wheelchair and then abandoned at the top of the jet-way.  Eventually, she had to walk about 1 km to customs.  The customs agent was so horrified that he escorted her to curbside to ground transportation.We filed a complaint about prejudice against handicapped passengers with the Canadian Transportation Authority (filing 23-47443). Of course they have not done anything either.  All of these people need to be 'named and shamed' because otherwise they will do nothing.  ""We don't care because we don't have to,"" seems to be the prevailing attitude."
3,1.0,Worst airline imaginable,Connecting flight delayed 24 hours. Stuck in foreign city with no hotel or anything then after months of trying to get any compensation whatsoever they reject it and give me nothing. Genuinely evil airline. Avoid if at all possible honestly.
4,1.0,Never Again,"When you think of a destination wedding in tandem with hiring a travel agent, you think booking a one-week getaway for 60 people would be pretty easy, right? Not with Air Canada Vacations.Not only did they consistently ignore our requests, they left them for so long the options we wanted were sold out. I’m talking 3 months. Any adjustments we requested had an average turnaround time of 3 months. 3 months to select a seat or change a room. Yikes. No direct flights (apparently) so you’re doing red eyes to a connecting morning flight meaning 8 hours on a plane - to get to Cancun from Canada. You also are not allowed to upgrade your seats when booking this trip through the travel agent-ACV so that would have been nice to know ahead of time. You’d think if we’re offering you more money, you’d jump at it. Nope, turned us down and didn’t care to try. Then they cancel one of the 3 flights that was bringing some of the wedding guests down, meaning 20 people now have to spend what was supposed to be their first night on a hot getaway, at an airport hotel with only $40 vouchers for food at the AIRPORT. Then you get on the airplane, where the stewardesses come around to offer juice or drinks at an extra expense (obviously never a problem paying for this), yet won’t even put a pot of coffee on for the economy class. Instead the three stewardesses sit at the back of the plane on their phones in vacant customer seats, while the one in business class collects garbage and handles, well, business class. I’d also like to note that the ONE time the economy stewardesses came around, they rammed the cart into this poor gentleman’s leg and then BLAMED HIM for having it too far into the aisle. How about you offer some customer service, look where you’re going and ask him to move his leg instead of running into him?Then you arrive at the airport in Mexico looking for the transportation that was arranged for your group, and not only can you not locate them, but once you do (20 minutes later) they then tell you they may not be able to fit you all. After deciding they can, they let you sit on the bus for over an hour after guilt tripping you about wanting to purchase yourself a beer…because “they have some for you on the bus”. Well I could have had 3 in the time it took us to get going. Ok, so now we’re done with the arrival and they drop us off at the hotel. Great! And then fast-forward to a week later when the shuttle is to pick you up to return to the airport - no big deal it was only 35 minutes late. At least the one good thing I can say is the host and driver of this shuttle were wonderful to deal with. Finally a positive. The return flights home were a tad better, with the one from Cancun to Toronto having the best service stewardess-wise. This was the only flight of four that I actually felt they cared to give some customer service. All in all, Air Canada Vacations is the worst airline I have ever used, and I will never book with them in the future, nor will many of my family or friends. This was the most horrendous organization & execution of a trip I’ve ever seen.WestJet flyer for life, especially now."
5,1.0,Air canada is the worse airline in…,"Air canada is the worse airline in history with no empathy at all. I am an international student here in Fredericton and after paying an extra luggage fee on my bag, air canada has still not found my bag or refunded my immediate expenses. It has been 48 days and no words from them . I keep calling and hearing the same thing. I would like help. Please anyone with information on who to contact ?"
6,1.0,My experience with Air Canada was…,"My experience with Air Canada was nothing short of a complete disaster. I wouldn't wish this airline on my worst enemy. To start, our departure was delayed by a mind-boggling two hours, and the reason? Apparently, the gate wasn't even available. So there we sat, like cattle, twiddling our thumbs, and wondering if this was some kind of cruel joke.But oh, the delays didn't stop there. No, they continued throughout the flight. It was as if Air Canada had a personal vendetta against punctuality. The flight attendants must have thought they were on vacation too, as they seemed more interested in chatting amongst themselves than addressing the frustrated passengers.I'd like to say that the in-flight experience made up for it, but that would be a lie. The seats were about as comfortable as a park bench, and the in-flight entertainment was laughable at best. It's safe to say that my next flight won't be booked with Air Canada. If you value your time and sanity, steer clear of this airline."
7,1.0,I had a check in problem in Dublin…,I had a check in problem in Dublin Airport. The AC agent  took personal responsibility for the problem and had it resolved after working on it for an hour with AC help desk.  In 4 decades of travel I have not experienced a higher level of customers care.
9,2.0,They lost my bag even though I was at…,"They lost my bag even though I was at the airport checking in 3 hours before the flight (and i checked in at the business class ""priority"" area at Toronto Pearson airport - business class experience... Not so much). And the flight was 1 hour late...."
10,1.0,"Never fly AirCanada, no matter the price","My dad booked a flight with them, where the system literally fused together his first and last name such that airport authorities denied him to fly. They couldn't fix their issue and gave him a miserable reimbursement although he lost 3000+ dollars because of the other connections and the new flight he had to book. Never fly AirCanada, their mistakes can ruin your holidays."
11,1.0,Delayed by 38 hours from Manchester to…,Delayed by 38 hours from Manchester to Toronto.Poor communication and lack information. Difficult to contact. Changed pre-paid for seats on both journeys. Ground staff at Toronto airport were rude and unhelpful.Never travel with Air Canada again.
12,1.0,Hopeless,"Hopeless. Were flying Sydney to Vancouver business class 27th April 2023 and the incoming aircraft got grounded due to bird strike. Flight delayed two days. We got given accommodation and cheap meals in a low class hotel (Ibis) near Sydney Airport for two nights. Our travel agent failed to cancel our prepaid accommodation in Vancouver. We have been trying to claim that cost on travel insurance, but Air Canada refuses to answer our emails to Customer Service asking for the necessary documentation proving flight cancellation (APT, the travel agent, have also been hopeless, referring us to the ""fine print"" in their conditions). I have tried calling Air Canada (from Australia) with no result. Numerous emails not answered. Never again. An airline with regular flights to Australia would have had replacement aircraft available much sooner."
13,1.0,What a shower,What a shower! We booked to fly and return to Canada over 12 months ago. Despite requests we were not seated together on check in on both flights and 1 internal flight. Automated check in baggage drop was difficult as  many kiosks did not work. At Toronto we tried 5 kiosks until the 6th worked. Boarding at Vancouver was difficult as the staff erected zone lanes but to space to queue - one large scrum . CA wont be my first choise again.
14,1.0,Extremely disappointing service from Air Canada,"1. Lost baggage x 22. Narrow / uncomfortable seats3. Rushed breakfast service, food literally thrown at us4. Ground staff that lied to our faces regarding lost luggage5. Contact options regarding lost baggage were useless as no one picked up the call. I guess I don’t need to say much more than the above for future readers of this review to know that I was not impressed with the service offered by Air Canada. I will go out of my way to not use this company in the future."
15,1.0,Great Service - Needs UK Support and More,"I have to say the service onboard my first Air Canada flight (EDI-YYZ - 1st October 2023) was rather pleasant, the onboard crew were super friendly and efficient with everything but their flight management team (landslide crew) were HORRENDOUS as they had us stand in a queue for 1 hour at the gate claiming it would only be a few minutes to board the flight, and we left late due to this and the failure to check the aircraft at the stand.The other thing I wasn't happy with was the lack of UK contact options and offers, everything was Canada Based which for those outside Canada it would cost a lot to call. The AeroPlan offers for members outside of the UK are zero.I've had to change my return flight to this coming Friday (13th October) and I am hoping there to be no issues as experienced in Edinburgh and for the check in crew to be on time..."
17,1.0,Delayed for hours at the airport,"Delayed for hours at the airport , no drinks and food provided . Absolutely no UK telephone number to contact them , after constant emails was told the delay was a safety issue . Terrible customer service , will never travel with them again ."
18,1.0,I came back from India with Qatar…,I came back from India with Qatar Airines during covid overnighted in Montreal on my way to Calgary Air Canada would not pay for the Hotel! The next day I caught my flight to Canada! I'm 69 and was quite unwell having a stroke in india two weeks before as well I had been quite ill with intestinal parasites and was in a weaked condition and I made the flight attendants aware of it! I had to take my bag down from the overhead and my mask came down under my nose and a couple of flight attendants rushed down the alsie not to help me but to scold me for not having the mask over my nose we had an exchange of words whereas the senor flight attendant theartened to have the turned around back to Montreal and have me arrested! This was said very loudly so the whole plane could hear! They also bullied passengers by telling them they must when eating pull their mask up while chewing their food! In the galley they were sitting laughing about this while eating and drinking without masks! Totally nasty peaple!
19,1.0,Poorly trained and inappropriate staff on Air Canada,"When my husband and I had a problem on a flight it was handled very poorly. Their stewardess and steward were very inappropriate and rude. They sneared. They actually exacerbated the situation and did nothing when 2 passengers in front of us, afterwards, started loudly bouncing and banging on their seats. We said nothing,  but have never and will never fly with Air Canada again.  That was in 2020. Never again!!!"
0,0.0,Terrible experience with the maple…,"Terrible experience with the maple lounge who refused to allow access by Lana (last name unknown). Complained to Air Canada and received a response from Ragavi Brown who was also unrepentant for the delay and incompetence I have suffered from Air Canada not re booking me properly when they cancelled an earlier flight. Ragavi has offered me a discount which I'm never going to use as Im never flying with Air Canada again, here is the code if its of use to you. DNY4CU41"
1,1.0,Delayed by 12hours on flight into…,"Delayed by 12hours on flight into Toronto from Heathrow, ground staff helpful and apologetic at Heathrow. Eventually received compensation for this delay. Our internal flight between Toronto and Vancouver was cancelled altogether, we were informed by email that we may get a flight in two days by which time our holiday would have been ruined. The ground staff in Toronto were very unhelpful and in some cases quite rude. No hotel or food offered. Our agent eventually got us seats on a flight much later that day.On our internal flight and the flight home we were not seated together. This was our forth attempt at this holiday due to covid and ill heath, completely blighted by our experience with Air Canada. I will never travel Air Canada again."
2,1.0,Air Canada Hates Handicapped Passengers,"Summary: A Third-World Airline run by a bunch of people who operate with impunity.Here are the details.  In September, my handicapped partner traveled to from the US to YUL on Air Canada.  At YUL she was taken off the plane in a wheelchair and then abandoned at the top of the jet-way.  Eventually, she had to walk about 1 km to customs.  The customs agent was so horrified that he escorted her to curbside to ground transportation.We filed a complaint about prejudice against handicapped passengers with the Canadian Transportation Authority (filing 23-47443). Of course they have not done anything either.  All of these people need to be 'named and shamed' because otherwise they will do nothing.  ""We don't care because we don't have to,"" seems to be the prevailing attitude."
3,1.0,Worst airline imaginable,Connecting flight delayed 24 hours. Stuck in foreign city with no hotel or anything then after months of trying to get any compensation whatsoever they reject it and give me nothing. Genuinely evil airline. Avoid if at all possible honestly.
4,1.0,Never Again,"When you think of a destination wedding in tandem with hiring a travel agent, you think booking a one-week getaway for 60 people would be pretty easy, right? Not with Air Canada Vacations.Not only did they consistently ignore our requests, they left them for so long the options we wanted were sold out. I’m talking 3 months. Any adjustments we requested had an average turnaround time of 3 months. 3 months to select a seat or change a room. Yikes. No direct flights (apparently) so you’re doing red eyes to a connecting morning flight meaning 8 hours on a plane - to get to Cancun from Canada. You also are not allowed to upgrade your seats when booking this trip through the travel agent-ACV so that would have been nice to know ahead of time. You’d think if we’re offering you more money, you’d jump at it. Nope, turned us down and didn’t care to try. Then they cancel one of the 3 flights that was bringing some of the wedding guests down, meaning 20 people now have to spend what was supposed to be their first night on a hot getaway, at an airport hotel with only $40 vouchers for food at the AIRPORT. Then you get on the airplane, where the stewardesses come around to offer juice or drinks at an extra expense (obviously never a problem paying for this), yet won’t even put a pot of coffee on for the economy class. Instead the three stewardesses sit at the back of the plane on their phones in vacant customer seats, while the one in business class collects garbage and handles, well, business class. I’d also like to note that the ONE time the economy stewardesses came around, they rammed the cart into this poor gentleman’s leg and then BLAMED HIM for having it too far into the aisle. How about you offer some customer service, look where you’re going and ask him to move his leg instead of running into him?Then you arrive at the airport in Mexico looking for the transportation that was arranged for your group, and not only can you not locate them, but once you do (20 minutes later) they then tell you they may not be able to fit you all. After deciding they can, they let you sit on the bus for over an hour after guilt tripping you about wanting to purchase yourself a beer…because “they have some for you on the bus”. Well I could have had 3 in the time it took us to get going. Ok, so now we’re done with the arrival and they drop us off at the hotel. Great! And then fast-forward to a week later when the shuttle is to pick you up to return to the airport - no big deal it was only 35 minutes late. At least the one good thing I can say is the host and driver of this shuttle were wonderful to deal with. Finally a positive. The return flights home were a tad better, with the one from Cancun to Toronto having the best service stewardess-wise. This was the only flight of four that I actually felt they cared to give some customer service. All in all, Air Canada Vacations is the worst airline I have ever used, and I will never book with them in the future, nor will many of my family or friends. This was the most horrendous organization & execution of a trip I’ve ever seen.WestJet flyer for life, especially now."
5,1.0,Air canada is the worse airline in…,"Air canada is the worse airline in history with no empathy at all. I am an international student here in Fredericton and after paying an extra luggage fee on my bag, air canada has still not found my bag or refunded my immediate expenses. It has been 48 days and no words from them . I keep calling and hearing the same thing. I would like help. Please anyone with information on who to contact ?"
6,1.0,My experience with Air Canada was…,"My experience with Air Canada was nothing short of a complete disaster. I wouldn't wish this airline on my worst enemy. To start, our departure was delayed by a mind-boggling two hours, and the reason? Apparently, the gate wasn't even available. So there we sat, like cattle, twiddling our thumbs, and wondering if this was some kind of cruel joke.But oh, the delays didn't stop there. No, they continued throughout the flight. It was as if Air Canada had a personal vendetta against punctuality. The flight attendants must have thought they were on vacation too, as they seemed more interested in chatting amongst themselves than addressing the frustrated passengers.I'd like to say that the in-flight experience made up for it, but that would be a lie. The seats were about as comfortable as a park bench, and the in-flight entertainment was laughable at best. It's safe to say that my next flight won't be booked with Air Canada. If you value your time and sanity, steer clear of this airline."
7,1.0,I had a check in problem in Dublin…,I had a check in problem in Dublin Airport. The AC agent  took personal responsibility for the problem and had it resolved after working on it for an hour with AC help desk.  In 4 decades of travel I have not experienced a higher level of customers care.
9,2.0,They lost my bag even though I was at…,"They lost my bag even though I was at the airport checking in 3 hours before the flight (and i checked in at the business class ""priority"" area at Toronto Pearson airport - business class experience... Not so much). And the flight was 1 hour late...."
10,1.0,"Never fly AirCanada, no matter the price","My dad booked a flight with them, where the system literally fused together his first and last name such that airport authorities denied him to fly. They couldn't fix their issue and gave him a miserable reimbursement although he lost 3000+ dollars because of the other connections and the new flight he had to book. Never fly AirCanada, their mistakes can ruin your holidays."
11,1.0,Delayed by 38 hours from Manchester to…,Delayed by 38 hours from Manchester to Toronto.Poor communication and lack information. Difficult to contact. Changed pre-paid for seats on both journeys. Ground staff at Toronto airport were rude and unhelpful.Never travel with Air Canada again.
12,1.0,Hopeless,"Hopeless. Were flying Sydney to Vancouver business class 27th April 2023 and the incoming aircraft got grounded due to bird strike. Flight delayed two days. We got given accommodation and cheap meals in a low class hotel (Ibis) near Sydney Airport for two nights. Our travel agent failed to cancel our prepaid accommodation in Vancouver. We have been trying to claim that cost on travel insurance, but Air Canada refuses to answer our emails to Customer Service asking for the necessary documentation proving flight cancellation (APT, the travel agent, have also been hopeless, referring us to the ""fine print"" in their conditions). I have tried calling Air Canada (from Australia) with no result. Numerous emails not answered. Never again. An airline with regular flights to Australia would have had replacement aircraft available much sooner."
13,1.0,What a shower,What a shower! We booked to fly and return to Canada over 12 months ago. Despite requests we were not seated together on check in on both flights and 1 internal flight. Automated check in baggage drop was difficult as  many kiosks did not work. At Toronto we tried 5 kiosks until the 6th worked. Boarding at Vancouver was difficult as the staff erected zone lanes but to space to queue - one large scrum . CA wont be my first choise again.
14,1.0,Extremely disappointing service from Air Canada,"1. Lost baggage x 22. Narrow / uncomfortable seats3. Rushed breakfast service, food literally thrown at us4. Ground staff that lied to our faces regarding lost luggage5. Contact options regarding lost baggage were useless as no one picked up the call. I guess I don’t need to say much more than the above for future readers of this review to know that I was not impressed with the service offered by Air Canada. I will go out of my way to not use this company in the future."
15,1.0,Great Service - Needs UK Support and More,"I have to say the service onboard my first Air Canada flight (EDI-YYZ - 1st October 2023) was rather pleasant, the onboard crew were super friendly and efficient with everything but their flight management team (landslide crew) were HORRENDOUS as they had us stand in a queue for 1 hour at the gate claiming it would only be a few minutes to board the flight, and we left late due to this and the failure to check the aircraft at the stand.The other thing I wasn't happy with was the lack of UK contact options and offers, everything was Canada Based which for those outside Canada it would cost a lot to call. The AeroPlan offers for members outside of the UK are zero.I've had to change my return flight to this coming Friday (13th October) and I am hoping there to be no issues as experienced in Edinburgh and for the check in crew to be on time..."
17,1.0,Delayed for hours at the airport,"Delayed for hours at the airport , no drinks and food provided . Absolutely no UK telephone number to contact them , after constant emails was told the delay was a safety issue . Terrible customer service , will never travel with them again ."
18,1.0,I came back from India with Qatar…,I came back from India with Qatar Airines during covid overnighted in Montreal on my way to Calgary Air Canada would not pay for the Hotel! The next day I caught my flight to Canada! I'm 69 and was quite unwell having a stroke in india two weeks before as well I had been quite ill with intestinal parasites and was in a weaked condition and I made the flight attendants aware of it! I had to take my bag down from the overhead and my mask came down under my nose and a couple of flight attendants rushed down the alsie not to help me but to scold me for not having the mask over my nose we had an exchange of words whereas the senor flight attendant theartened to have the turned around back to Montreal and have me arrested! This was said very loudly so the whole plane could hear! They also bullied passengers by telling them they must when eating pull their mask up while chewing their food! In the galley they were sitting laughing about this while eating and drinking without masks! Totally nasty peaple!
19,1.0,Poorly trained and inappropriate staff on Air Canada,"When my husband and I had a problem on a flight it was handled very poorly. Their stewardess and steward were very inappropriate and rude. They sneared. They actually exacerbated the situation and did nothing when 2 passengers in front of us, afterwards, started loudly bouncing and banging on their seats. We said nothing,  but have never and will never fly with Air Canada again.  That was in 2020. Never again!!!"
0,0.0,Without doubt the worst customer…,"Without doubt the worst customer service I have ever received. From cancelling booking twice, the second time enroute to the airport !! To over booking flights. Non existent support. Impossible to contact from the UK. Non response to attempts to resolve. AVOID AVOID AVOID"
1,1.0,AVOID AVOID AVOID,AVOID AVOID AVOIDAir Canada have to be the worst company I have had the misfortune to interact with in years. Their policy of overbooking flights and cancelling at the last minute is grunt appalling. I had a flight for elderly parents visiting Canada from the UK cancelled twice. Once the week before then the second time when they were on their way for the airport. Zero support provided. Truly horrendous experience and arrogant company. Do not use this company or prepare to be treated way worse than you can begin to imagine. Deserve zero stars.
2,1.0,Air Canada flights  worest carrier,"We had Air Canada flights via an agent to London to Calgary, Vancouver to Toronto and back to UK, to say this was stressful with this lot is an underestimate.  Booking seats together was the biggest problem.   We struggled and we told they will do this at the gate, just before you board. Yes, we were given seats but split up, my wife being 10 or more rows behind me, told them I had a heart condition and I more comfortable if she was close to me. Nobody cared, they just passed us on and said best ask the passengers when in the plane, if they will move. they just don’t care! Also, two out to the three flights were delayed, we sat on the tarmac on Toronto for an hour before the plane docked to allow us off. And coming back to London the flight was delayed by 6 hours. They offered us a 15 Dollar voucher as compensation. I will never fly this carrier again."
3,1.0,Outstanding ! We traveled on Air Canada flights back…,We traveled on Air Canada flights back and forth to Portugal thru toronto.The flights and service were among the best we ever had in our 60 years of flying.Outstanding is all we can say.
